date,day_of_week,time,title,hosted_by
2025-06-11,Thursday,21:30,"The Hedge",
2025-06-12,Friday,20:00,"House Show",
2025-06-12,Friday,21:30,"The Indie Improv Show",
2025-06-13,Saturday,20:00,"Witch Hunt",
2025-06-13,Saturday,21:30,"The TV Show",
2025-06-14,Sunday,20:00,"The CCB Improv Jam",Group Chat
2025-06-15,Wednesday,20:00,"The Improvised Stand-Up Show",
2025-06-15,Thursday,20:00,"Truth Night",
2025-06-15,Friday,20:00,"House Show",
2025-06-15,Saturday,20:00,"The Yarn (Comedy Storytelling)",
2025-06-15,Sunday,20:00,"The CCB Improv Jam",Wet Teeth
2025-06-15,Wednesday,21:30,"Night at the Spa",
2025-06-15,Thursday,21:30,"Action Jackson",
2025-06-15,Friday,21:30,"Tales Held Dear",
2025-06-15,Saturday,21:30,"It's That Time of the Month!",
2025-06-15,Friday,23:00,"No Joke",
2025-06-22,WEDNESDAY,20:00,"The Indie Improv Show",
2025-06-22,THURSDAY,20:00,"Teacher's Pet",
2025-06-22,FRIDAY,20:00,"House Show",
2025-06-22,SATURDAY,20:00,"Laughing Matter",
2025-06-22,SUNDAY,20:00,"The CCB Improv Jam",Destiny's Stepchild
2025-06-22,WEDNESDAY,21:30,"Improvylicious Jam",
2025-06-22,THURSDAY,21:30,"Daisy Chain – LGBTQIA+ Ensemble Improv",
2025-06-22,FRIDAY,21:30,"The Glue Factory (presented by Fünfdollar)",
2025-06-22,SATURDAY,21:30,"The Reunion: Jersey Shore",
2025-06-22,FRIDAY,23:00,"The Hedge",
2025-06-29,WEDNESDAY,18:30,"Student Show",
2025-06-29,SUNDAY,18:45,"Student Show",
2025-06-29,WEDNESDAY,19:45,"Student Show",
2025-06-29,THURSDAY,20:00,"Kringel - Improv Comedy auf Deutsch",
2025-06-29,FRIDAY,20:00,"House Show",
2025-06-29,SATURDAY,20:00,"The Shakedown - Musical Improv",
2025-06-29,SUNDAY,20:00,"Student Show",
2025-06-29,WEDNESDAY,21:00,"Student Show",
2025-06-29,THURSDAY,21:30,"Frei erfunden - Improv Comedy und Jam auf Deutsch",
2025-06-29,FRIDAY,21:30,"GLB - Improvised Comedy",
2025-06-29,SATURDAY,21:30,"Full Fat Bear Milk",
2025-06-29,FRIDAY,23:00,"Forms Night",
2025-07-06,WEDNESDAY,20:00,"Health Plan: A Deconstruction",
2025-07-06,THURSDAY,20:00,"Smash Cut Presents: The Improvised Movie",
2025-07-06,FRIDAY,20:00,"House Show",
2025-07-06,SATURDAY,20:00,"Theo Mason Wood: LEGALISE KISSING",
2025-07-06,SUNDAY,20:00,"The CCB Improv Jam",
2025-07-06,WEDNESDAY,21:30,"Turtle Logic: The Aquarium",
2025-07-06,THURSDAY,21:30,"The Hedge",
2025-07-06,FRIDAY,21:30,"The Indie Improv Show",
2025-07-06,SATURDAY,21:30,"Witch Hunt",
2025-07-06,FRIDAY,23:00,"Tales Held Dear",
2025-07-15,WEDNESDAY,18:30,"Roisin Brehony and Lucy Green: Macbeth",
2025-07-15,WEDNESDAY,20:00,"Maya Upchurch Is ""Controversial""",
2025-07-15,WEDNESDAY,21:30,"Josh Glanc: New Songs and Shtick",
2025-07-16,THURSDAY,18:30,"Frankie Thompson: Horrible Things",
2025-07-16,THURSDAY,20:00,"Joz Norris: You Wait. Time Passes",
2025-07-16,THURSDAY,21:30,"Macrodose: They'll Live",
2025-07-17,FRIDAY,18:30,"Will Owen: Britain's Next Gay Person",
2025-07-17,FRIDAY,20:00,"Ahir Shah: WIP",
2025-07-17,FRIDAY,21:30,"Sean Morley: Backchannl",
2025-07-17,FRIDAY,23:00,"No Joke",
2025-07-18,SATURDAY,18:30,"Olga Koch Comes From Money",
2025-07-18,SATURDAY,20:00,"Kamah Bob: Miss Fortunate",
2025-07-18,SATURDAY,21:30,"Siblings: Dreamweavers",
2025-07-18,SATURDAY,23:00,"Leftovers Night",
2025-07-19,SUNDAY,18:30,"History Flakes: Live at Berlin Fringe",
2025-07-19,SUNDAY,20:00,"Christopher Hall: Showboating (WIP)",
2025-07-19,SUNDAY,21:30,"Graham and Steen",
2025-07-20,THURSDAY,20:00,"Truth Night",
2025-07-20,FRIDAY,20:00,"House Show",
2025-07-20,SATURDAY,20:00,"The Confession: An Improv Show Worth Repenting For",
2025-07-20,SUNDAY,20:00,"The CCB Improv Jam",Dennis Racket
2025-07-20,WEDNESDAY,21:30,"There's One In Every Class",
2025-07-20,THURSDAY,21:30,"Action Jackson",
2025-07-20,FRIDAY,21:30,"The Glue Factory presented by Fünfdollar",
2025-07-20,SATURDAY,21:30,"The Reunion: Real Housewives",
2025-07-20,FRIDAY,23:00,"The Hedge",
2025-07-29,WEDNESDAY,20:00,"Dennis Hacket Deconstructs......",
2025-07-29,WEDNESDAY,21:30,"The Dentist's Chair by Wet Teeth",
2025-07-30,THURSDAY,20:00,"Teacher's Pet",
2025-07-30,THURSDAY,21:30,"Daisy Chain – LGBTQIA+ Ensemble Improv",
2025-07-31,FRIDAY,20:00,"*House Show Special Edition!* Finale of Pizza Studio! Premiere of Capiche!",
2025-07-31,FRIDAY,21:30,"The Indie Improv Show",
2025-07-31,FRIDAY,23:00,"Forms Night",
2025-08-01,SATURDAY,20:00,"The Shakedown – Musical Improv",
2025-08-01,SATURDAY,21:30,"Full Fat Bear Milk",
2025-08-02,SUNDAY,20:00,"The CCB Improv Jam",Soft Dog Shoulders
2025-08-05,WEDNESDAY,20:00,"The Indie Improv Show (Milk Maidens & Truthpaste)",
2025-08-05,WEDNESDAY,21:30,"Improvylicious Jam",
2025-08-06,THURSDAY,20:00,"Kringel",
2025-08-06,THURSDAY,21:30,"Frei erfunden – Improv Comedy und Jam auf Deutsch",
2025-08-07,FRIDAY,20:00,"House Show",
2025-08-07,FRIDAY,21:30,"Witch Hunt",
2025-08-07,FRIDAY,23:00,"Wheel of Truth",
2025-08-08,SATURDAY,20:00,"The CCB Cage Match (Group Stage)",
2025-08-09,SUNDAY,20:00,"The CCB Improv Jam",Smoke Break
2025-08-12,WEDNESDAY,20:00,"Health Plan: A Deconstruction",
2025-08-12,WEDNESDAY,21:30,"Turtle Logic: The Aquarium",
2025-08-13,THURSDAY,20:00,"Smash Cut Presents: The Improvised Movie",
2025-08-13,THURSDAY,21:30,"The Hedge",
2025-08-14,FRIDAY,20:00,"House Show",
2025-08-14,FRIDAY,21:30,"Tales Held Dear",
2025-08-14,FRIDAY,23:00,"No Joke",
2025-08-15,SATURDAY,20:00,"The CCB Cage Match (Semi-Finals)",
2025-08-16,SUNDAY,20:00,"The CCB Improv Jam",Noibas
2025-08-19,WEDNESDAY,20:00,"The Improvised Stand-Up Show",
2025-08-19,WEDNESDAY,21:30,"Bloodthirsty",
2025-08-20,THURSDAY,20:00,"Truth Night",
2025-08-20,THURSDAY,21:30,"Action Jackson",
2025-08-21,FRIDAY,20:00,"House Show",
2025-08-21,FRIDAY,21:30,"The Glue Factory presented by Fünfdollar",
2025-08-21,FRIDAY,23:00,"The Hedge",
2025-08-22,SATURDAY,20:00,"The CCB Cage Match (Finals)",
2025-08-23,SUNDAY,20:00,"The CCB Improv Jam",All-in Therapy
2025-08-26,WEDNESDAY,20:00,"The Indie Improv Show",
2025-08-26,WEDNESDAY,21:30,"Team Jam",
2025-08-27,THURSDAY,20:00,"Teacher's Pet",
2025-08-27,THURSDAY,21:30,"Daisy Chain – LGBTQIA+ Ensemble Improv",
2025-08-28,FRIDAY,20:00,"House Show",
2025-08-28,FRIDAY,21:30,"Crimes of the Heart: The Ghosts of Neukölln",
2025-08-28,FRIDAY,23:00,"Indulge Me!",
2025-08-29,SATURDAY,20:00,"It's That Time of the Month!",
2025-08-29,SATURDAY,21:30,"The Reunion: Survivor",
2025-08-31,WEDNESDAY,20:00,"The indie Improv Show",
2025-08-31,THURSDAY,20:00,"Kringel",
2025-08-31,FRIDAY,20:00,"House Show",
2025-08-31,SATURDAY,20:00,"Helen Bauer: Bless Her",
2025-08-31,SUNDAY,20:00,"The CCB Improv Jam (host TBD)",
2025-08-31,WEDNESDAY,21:30,"Improvilicious Jam",
2025-08-31,THURSDAY,21:30,"Frei erfunden - Improv Comedy (German)",
2025-08-31,FRIDAY,21:30,"GLB - Improvised Comedy",
2025-08-31,SATURDAY,21:30,"Blumpkin Abbey",
2025-08-31,FRIDAY,23:00,"Forms Night",
2025-09-09,Wednesday,20:00,"Health Plan & Deconstruction",
2025-09-09,Wednesday,21:30,"Turtle Logic: The Aquarium",
2025-09-10,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-09-10,Thursday,21:30,"The Hedge",
2025-09-11,Friday,20:00,"House Show",
2025-09-11,Friday,21:30,"The Indie Improv Show",
2025-09-11,Friday,23:00,"Reflections",
2025-09-12,Saturday,20:00,"Witch Hunt",
2025-09-12,Saturday,21:30,"Laughing Matter",
2025-09-13,Sunday,20:00,"The CCB Improv Jam",Truth Paste
2025-09-21,WEDNESDAY,20:00,"The Indie Improv Show (with Haircut and Shredder)",
2025-09-21,THURSDAY,20:00,"Teacher's Pet",
2025-09-21,FRIDAY,20:00,"House Show",
2025-09-21,SATURDAY,20:00,"The Shakedown - Musical Improv",
2025-09-21,SUNDAY,20:00,"The CCB Improv Jam",Themprov
2025-09-21,WEDNESDAY,21:30,"Slackers",
2025-09-21,THURSDAY,21:30,"Daisy Chain (LGBTQIA+ Ensemble Improv)",
2025-09-21,FRIDAY,21:30,"The Glue Factory presented by Fünfdollar",
2025-09-21,SATURDAY,21:30,"Full Fat Bear Milk",
2025-09-21,SATURDAY,23:00,"The Hedge",
2025-09-28,WEDNESDAY,20:00,"piffle!",
2025-09-28,THURSDAY,20:00,"It's That Time of the Month!",
2025-09-28,FRIDAY,20:00,"Harold Night",
2025-09-28,SATURDAY,20:00,"The Weird Show",
2025-09-28,SUNDAY,20:00,"The CCB Improv Jam",
2025-09-28,WEDNESDAY,21:30,"Daniel Stern's Bald Spot",
